pollen,station,datetime,week
31,Melbourne,19/11/2015,47
0,dummy,19/11/2015,47
5,Melbourne,20/11/2015,47
3,Melbourne,21/11/2015,47
2,Melbourne,22/11/2015,48
20,Melbourne,23/11/2015,48
27,Melbourne,24/11/2015,48
46,Melbourne,25/11/2015,48
24,Melbourne,26/11/2015,48
0,dummy,26/11/2015,48
46,Melbourne,26/11/2015,48
3,Melbourne,27/11/2015,48
2,Melbourne,28/11/2015,48
3,Melbourne,29/11/2015,49
4,Melbourne,30/11/2015,49
4,Melbourne,01/12/2015,49
3,Melbourne,02/12/2015,49
1,Melbourne,03/12/2015,49
0,dummy,04/12/2015,49
0,dummy,04/12/2015,49
8,Melbourne,04/12/2015,49
13,Melbourne,05/12/2015,49
15,Melbourne,06/12/2015,50
19,Melbourne,07/12/2015,50
3,Melbourne,08/12/2015,50
12,Melbourne,09/12/2015,50
5,Melbourne,10/12/2015,50
3,Melbourne,11/12/2015,50
0,Melbourne,12/12/2015,50
0,Melbourne,13/12/2015,51
7,Melbourne,14/12/2015,51
2,Melbourne,15/12/2015,51
2,Melbourne,16/12/2015,51
0,dummy,16/12/2015,51
0,dummy,16/12/2015,51
2,Melbourne,17/12/2015,51
4,Melbourne,18/12/2015,51
0,Melbourne,19/12/2015,51
2,Melbourne,20/12/2015,52
2,Melbourne,21/12/2015,52
2,Melbourne,22/12/2015,52
0,dummy,22/12/2015,52
0,Melbourne,23/12/2015,52
0,Melbourne,24/12/2015,52
0,dummy,24/12/2015,52
2,Melbourne,25/12/2015,52
0,Melbourne,26/12/2015,52
0,Melbourne,27/12/2015,53
0,Melbourne,28/12/2015,53
0,Melbourne,29/12/2015,53
0,Melbourne,30/12/2015,53
0,Melbourne,31/12/2015,53
0,dummy,01/01/2016,1
0,dummy,01/02/2016,6
0,dummy,16/02/2016,8
0,dummy,24/02/2016,9
0,dummy,14/08/2016,34
0,dummy,19/08/2016,34
0,dummy,31/08/2016,36
0,dummy,31/08/2016,36
0,dummy,31/08/2016,36
0,dummy,31/08/2016,36
0,Red,31/08/2016,36
0,dummy,02/09/2016,36
0,dummy,02/09/2016,36
0,dummy,05/09/2016,37
0,CBR,05/09/2016,37
0,dummy,09/09/2016,37
0,dummy,10/09/2016,37
0,dummy,10/09/2016,37
0,dummy,12/09/2016,38
0,ANU,12/09/2016,38
0,Melbourne,27/09/2016,40
0,Melbourne,27/09/2016,40
0,dummy,28/09/2016,40
0,dummy,28/09/2016,40
0,Melbourne,28/09/2016,40
0,Melbourne,29/09/2016,40
0,Melbourne,30/09/2016,40
12,Melbourne,01/10/2016,40
10,Melbourne,02/10/2016,41
2,Melbourne,03/10/2016,41
3,Melbourne,04/10/2016,41
0,dummy,05/10/2016,41
0,dummy,05/10/2016,41
0,Melbourne,05/10/2016,41
7,Melbourne,06/10/2016,41
0,dummy,06/10/2016,41
22,Melbourne,07/10/2016,41
3,Melbourne,08/10/2016,41
3,Melbourne,09/10/2016,42
3,Melbourne,10/10/2016,42
0,dummy,10/10/2016,42
3,Melbourne,11/10/2016,42
3,Melbourne,12/10/2016,42
3,Melbourne,13/10/2016,42
9,Melbourne,14/10/2016,42
0,dummy,14/10/2016,42
73,Melbourne,15/10/2016,42
0,dummy,16/10/2016,43
94,Melbourne,16/10/2016,43
14,Melbourne,17/10/2016,43
3,Melbourne,18/10/2016,43
2,Melbourne,19/10/2016,43
20,Melbourne,20/10/2016,43
19,Melbourne,21/10/2016,43
2,Melbourne,22/10/2016,43
0,Melbourne,23/10/2016,44
2,Melbourne,24/10/2016,44
22,Melbourne,25/10/2016,44
34,Melbourne,26/10/2016,44
0,dummy,26/10/2016,44
0,Melbourne,27/10/2016,44
0,dummy,28/10/2016,44
0,dummy,28/10/2016,44
2,Melbourne,28/10/2016,44
24,Melbourne,29/10/2016,44
53,Melbourne,30/10/2016,45
12,Melbourne,31/10/2016,45
0,dummy,31/10/2016,45
0,dummy,31/10/2016,45
0,Birch,31/10/2016,45
0,dummy,31/10/2016,45
0,dummy,31/10/2016,45
0,dummy,31/10/2016,45
9,Melbourne,01/11/2016,45
2,Melbourne,02/11/2016,45
7,Melbourne,03/11/2016,45
0,dummy,04/11/2016,45
0,dummy,04/11/2016,45
0,dummy,04/11/2016,45
129,Melbourne,04/11/2016,45
31,Melbourne,05/11/2016,45
0,dummy,06/11/2016,46
36,Melbourne,06/11/2016,46
0,dummy,07/11/2016,46
0,dummy,07/11/2016,46
0,dummy,07/11/2016,46
0,dummy,07/11/2016,46
154,Melbourne,07/11/2016,46
0,Melbourne,07/11/2016,46
0,dummy,08/11/2016,46
0,dummy,08/11/2016,46
0,dummy,08/11/2016,46
7,Melbourne,08/11/2016,46
0,Melbourne,08/11/2016,46
0,dummy,08/11/2016,46
0,dummy,08/11/2016,46
5,Melbourne,09/11/2016,46
8,Melbourne,10/11/2016,46
44,Melbourne,11/11/2016,46
0,dummy,12/11/2016,46
129,Melbourne,12/11/2016,46
17,Melbourne,13/11/2016,47
0,dummy,13/11/2016,47
0,dummy,13/11/2016,47
0,dummy,13/11/2016,47
2,Melbourne,14/11/2016,47
0,Melbourne,15/11/2016,47
0,dummy,16/11/2016,47
0,dummy,16/11/2016,47
0,dummy,16/11/2016,47
0,dummy,16/11/2016,47
0,dummy,16/11/2016,47
0,dummy,16/11/2016,47
22,Melbourne,16/11/2016,47
0,dummy,17/11/2016,47
0,Hayfever,17/11/2016,47
68,Melbourne,17/11/2016,47
0,Melbourne,17/11/2016,47
0,dummy,17/11/2016,47
0,dummy,17/11/2016,47
0,dummy,17/11/2016,47
0,Melbourne,17/11/2016,47
0,dummy,18/11/2016,47
60,Melbourne,18/11/2016,47
22,Melbourne,19/11/2016,47
0,dummy,20/11/2016,48
0,dummy,20/11/2016,48
0,dummy,20/11/2016,48
0,dummy,20/11/2016,48
29,Melbourne,20/11/2016,48
0,dummy,21/11/2016,48
0,dummy,21/11/2016,48
102,Melbourne,21/11/2016,48
0,dummy,21/11/2016,48
0,dummy,22/11/2016,48
0,Knox,22/11/2016,48
0,TheProjectTV,22/11/2016,48
0,dummy,22/11/2016,48
0,dummy,22/11/2016,48
0,dummy,22/11/2016,48
0,dummy,22/11/2016,48
0,dummy,22/11/2016,48
0,dummy,22/11/2016,48
19,Melbourne,22/11/2016,48
0,dummy,22/11/2016,48
0,dummy,22/11/2016,48
0,dummy,22/11/2016,48
0,ThunderstormAsthma,22/11/2016,48
0,dummy,22/11/2016,48
0,dummy,22/11/2016,48
0,dummy,22/11/2016,48
0,dummy,22/11/2016,48
0,dummy,22/11/2016,48
0,dummy,22/11/2016,48
0,dummy,22/11/2016,48
0,dummy,22/11/2016,48
0,dummy,22/11/2016,48
0,dummy,22/11/2016,48
0,dummy,22/11/2016,48
0,dummy,23/11/2016,48
3,Melbourne,23/11/2016,48
0,dummy,23/11/2016,48
0,dummy,23/11/2016,48
0,dummy,24/11/2016,48
0,dummy,24/11/2016,48
0,dummy,24/11/2016,48
0,dummy,24/11/2016,48
0,dummy,24/11/2016,48
0,dummy,24/11/2016,48
0,dummy,24/11/2016,48
9,Melbourne,24/11/2016,48
0,dummy,24/11/2016,48
0,dummy,24/11/2016,48
17,Melbourne,25/11/2016,48
12,Melbourne,26/11/2016,48
0,dummy,27/11/2016,49
7,Melbourne,27/11/2016,49
5,Melbourne,28/11/2016,49
0,dummy,28/11/2016,49
0,dummy,29/11/2016,49
0,dummy,29/11/2016,49
5,Melbourne,29/11/2016,49
0,dummy,29/11/2016,49
0,dummy,29/11/2016,49
0,dummy,29/11/2016,49
32,Melbourne,30/11/2016,49
0,dummy,01/12/2016,49
0,dummy,01/12/2016,49
3,Melbourne,01/12/2016,49
0,dummy,02/12/2016,49
41,Melbourne,02/12/2016,49
25,Melbourne,03/12/2016,49
0,dummy,03/12/2016,49
0,dummy,03/12/2016,49
25,Melbourne,03/12/2016,49
79,Melbourne,04/12/2016,50
0,dummy,04/12/2016,50
0,dummy,04/12/2016,50
48,Melbourne,05/12/2016,50
0,Melbourne,05/12/2016,50
47,Melbourne,06/12/2016,50
0,dummy,07/12/2016,50
0,dummy,07/12/2016,50
0,dummy,07/12/2016,50
0,dummy,07/12/2016,50
0,dummy,07/12/2016,50
0,dummy,07/12/2016,50
0,dummy,07/12/2016,50
77,Melbourne,07/12/2016,50
0,dummy,07/12/2016,50
0,dummy,08/12/2016,50
70,Melbourne,08/12/2016,50
0,dummy,08/12/2016,50
0,dummy,08/12/2016,50
0,dummy,09/12/2016,50
0,dummy,09/12/2016,50
3,Melbourne,09/12/2016,50
2,Melbourne,10/12/2016,50
7,Melbourne,11/12/2016,51
0,dummy,12/12/2016,51
0,dummy,12/12/2016,51
61,Melbourne,12/12/2016,51
51,Melbourne,13/12/2016,51
46,Melbourne,14/12/2016,51
3,Melbourne,15/12/2016,51
0,dummy,16/12/2016,51
29,Melbourne,16/12/2016,51
19,Melbourne,17/12/2016,51
0,dummy,18/12/2016,52
0,dummy,18/12/2016,52
12,Melbourne,18/12/2016,52
0,dummy,19/12/2016,52
0,dummy,19/12/2016,52
117,Melbourne,19/12/2016,52
0,dummy,20/12/2016,52
0,dummy,20/12/2016,52
41,Melbourne,20/12/2016,52
24,Melbourne,21/12/2016,52
0,dummy,22/12/2016,52
0,dummy,22/12/2016,52
7,Melbourne,22/12/2016,52
0,dummy,23/12/2016,52
58,Melbourne,23/12/2016,52
0,dummy,23/12/2016,52
0,dummy,24/12/2016,52
54,Melbourne,24/12/2016,52
0,dummy,24/12/2016,52
51,Melbourne,25/12/2016,53
0,dummy,26/12/2016,53
65,Melbourne,26/12/2016,53
0,dummy,26/12/2016,53
3,Melbourne,27/12/2016,53
0,dummy,27/12/2016,53
19,Melbourne,28/12/2016,53
0,dummy,29/12/2016,53
0,dummy,29/12/2016,53
105,Melbourne,29/12/2016,53
12,Melbourne,30/12/2016,53
29,Melbourne,31/12/2016,53
0,AchieveMoreWithMicrosoft,31/12/2016,53
10,Melbourne,01/01/2017,1
2,Melbourne,02/01/2017,1
2,Melbourne,03/01/2017,1
44,Melbourne,04/01/2017,1
15,Melbourne,05/01/2017,1
9,Melbourne,06/01/2017,1
0,dummy,07/01/2017,1
0,dummy,07/01/2017,1
19,Melbourne,07/01/2017,1
3,Melbourne,08/01/2017,2
0,dummy,08/01/2017,2
0,dummy,08/01/2017,2
3,Melbourne,09/01/2017,2
0,dummy,09/01/2017,2
0,Melbourne,10/01/2017,2
